Community Area Number,COMMUNITY AREA NAME,HARDSHIP INDEX,Business Count,Housing Count,Housing Count Units,Hospital Count,Charter School Elementary Count,Charter School High School Count,District School Elementary Count,District School High School Count,ALOP/Safe School Elementary Count,ALOP/Safe School High School Count,Crime Count,Grocery Stores,PERCENT OF HOUSING CROWDED,%_OF_HOUSING_CROWDED,%_OF_HOUSEHOLDS_BELOW_POVERTY,%_AGED_16+_UNEMPLOYED,%_AGED_25+_WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME
1,Rogers Park,39,630,10,1178,2,0,1,5,1,0,0,4560,7,7.7,7.7,23.6,8.7,18.2,27.5,23939
2,West Ridge,46,900,6,324,2,1,0,8,1,0,0,3958,5,7.8,7.8,17.2,8.8,20.8,38.5,23040
3,Uptown,20,867,40,1439,6,0,1,5,1,0,0,4599,7,3.8,3.8,24.0,8.9,11.8,22.2,35787
4,Lincoln Square,17,761,7,36,3,0,0,4,1,0,0,2306,3,3.4,3.4,10.9,8.2,13.4,25.5,37524
5,North Center,6,808,5,162,1,0,0,4,3,0,0,1385,4,0.3,0.3,7.5,5.2,4.5,26.2,57123
6,Lake View,5,2307,23,516,2,0,0,9,1,0,0,6520,10,1.1,1.1,11.4,4.7,2.6,17.0,60058
7,Lincoln Park,2,1538,4,161,1,0,0,6,1,0,0,3987,9,0.8,0.8,12.3,5.1,3.6,21.5,71551
8,Near North Side,1,4196,24,1312,2,0,1,6,1,0,0,11064,15,1.9,1.9,12.9,7.0,2.5,22.6,88669
9,Edison Park,8,173,1,1,0,0,0,2,0,0,1,260,1,1.1,1.1,3.3,6.5,7.4,35.3,40959
10,Norwood Park,21,440,1,84,0,0,0,7,1,0,0,1299,1,2.0,2.0,5.4,9.0,11.5,39.5,32875
11,Jefferson Park,25,355,1,73,0,0,0,2,0,0,0,1114,1,2.7,2.7,8.6,12.4,13.4,35.5,27751
12,Forest Glen,11,238,0,0,0,0,0,3,0,0,0,514,2,1.1,1.1,7.5,6.8,4.9,40.5,44164
13,North Park,33,279,3,380,0,0,1,2,3,0,0,978,1,3.9,3.9,13.2,9.9,14.4,39.0,26576
14,Albany Park,53,790,3,233,2,1,0,7,1,0,0,2520,5,11.3,11.3,19.2,10.0,32.9,32.0,21323
15,Portage Park,35,872,6,123,1,0,0,5,2,0,0,3462,5,4.1,4.1,11.6,12.6,19.3,34.0,24336
16,Irving Park,34,916,2,65,0,1,1,8,2,0,0,2668,3,6.3,6.3,13.1,10.0,22.4,31.6,27249
17,Dunning,28,493,1,129,0,0,0,5,1,0,0,1686,3,5.2,5.2,10.6,10.0,16.2,33.6,26282
18,Montclaire,50,149,6,97,0,0,0,1,0,0,0,691,0,8.1,8.1,15.3,13.8,23.5,38.6,22014
19,Belmont Cragin,70,1154,8,470,1,3,1,10,2,0,0,5034,14,10.8,10.8,18.7,14.6,37.3,37.3,15461
20,Hermosa,71,342,0,0,0,0,1,3,1,0,0,1376,2,6.9,6.9,20.5,13.1,41.6,36.4,15089
21,Avondale,42,720,6,76,0,1,2,4,0,0,1,2247,2,6.0,6.0,15.3,9.2,24.7,31.0,20039
22,Logan Square,23,1544,33,687,4,1,0,10,1,0,0,5288,14,3.2,3.2,16.8,8.2,14.8,26.2,31908
23,Humboldt park,85,825,48,1139,5,2,3,10,3,0,0,7101,4,14.8,14.8,33.9,17.3,35.4,38.0,13781
